
Test set: Average loss: 7.548961, Accuracy: 9.910000 

Train Epoch: 1	[19200/50000 (38%)]	Loss: 0.207730	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[19400/50000 (39%)]	Loss: 0.222059	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[19600/50000 (39%)]	Loss: 0.212976	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[19800/50000 (40%)]	Loss: 0.393781	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[20000/50000 (40%)]	Loss: 0.252164	Accuracy: 30.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[20200/50000 (40%)]	Loss: 0.371958	Accuracy: 15.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[20400/50000 (41%)]	Loss: 0.322496	Accuracy: 20.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[20600/50000 (41%)]	Loss: 0.348760	Accuracy: 15.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[20800/50000 (42%)]	Loss: 0.262102	Accuracy: 20.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[21000/50000 (42%)]	Loss: 0.206084	Accuracy: 45.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[21200/50000 (42%)]	Loss: 0.279158	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[21400/50000 (43%)]	Loss: 0.187944	Accuracy: 25.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[21600/50000 (43%)]	Loss: 0.269065	Accuracy: 30.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[21800/50000 (44%)]	Loss: 0.268693	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[22000/50000 (44%)]	Loss: 0.185351	Accuracy: 55.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[22200/50000 (44%)]	Loss: 0.190633	Accuracy: 40.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
